Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
544,1,544,2,1,40.4,17,18,1
545,1,545,2,2,40.4,18,18,1
546,1,546,2,3,40.4,19,18,1
547,1,547,2,4,40.4,20,18,1
548,1,548,2,5,40.4,21,18,1
549,1,549,2,6,40.4,22,18,1
550,1,550,2,7,40.4,23,18,1
551,1,551,2,8,40.4,24,18,1
552,1,552,2,9,40.4,25,18,1
553,1,553,2,10,40.4,26,18,1
554,1,554,2,11,40.4,27,18,1
555,1,555,2,12,40.4,28,18,1
556,1,556,2,13,40.4,29,18,1
557,1,557,2,14,40.4,30,18,1
558,1,558,2,15,40.4,31,18,1
559,1,559,3,-15,40.4,1,19,1
560,1,560,3,-14,40.4,2,19,1
561,1,561,3,-13,40.4,3,19,1
562,1,562,3,-12,40.4,4,19,1
563,1,563,3,-11,40.4,5,19,1
564,1,564,3,-10,40.4,6,19,1
565,1,565,3,-9,40.4,7,19,1
566,1,566,3,-8,40.4,8,19,1
567,1,567,3,-7,40.4,9,19,1
568,1,568,3,-6,40.4,10,19,1
569,1,569,3,-5,40.4,11,19,1
570,1,570,3,-4,40.4,12,19,1
571,1,571,3,-3,40.4,13,19,1
572,1,572,3,-2,40.4,14,19,1
573,1,573,3,-1,40.4,15,19,1
574,1,574,3,0,40.4,16,19,1
575,1,575,3,1,40.4,17,19,1
576,1,576,3,2,40.4,18,19,1
577,1,577,3,3,40.4,19,19,1
578,1,578,3,4,40.4,20,19,1
579,1,579,3,5,40.4,21,19,1
580,1,580,3,6,40.4,22,19,1
581,1,581,3,7,40.4,23,19,1
582,1,582,3,8,40.4,24,19,1
583,1,583,3,9,40.4,25,19,1
584,1,584,3,10,40.4,26,19,1
585,1,585,3,11,40.4,27,19,1
586,1,586,3,12,40.4,28,19,1
587,1,587,3,13,40.4,29,19,1
588,1,588,3,14,40.4,30,19,1
589,1,589,3,15,40.4,31,19,1
590,1,590,4,-15,40.4,1,20,1
591,1,591,4,-14,40.4,2,20,1
592,1,592,4,-13,40.4,3,20,1
593,1,593,4,-12,40.4,4,20,1
594,1,594,4,-11,40.4,5,20,1
595,1,595,4,-10,40.4,6,20,1
596,1,596,4,-9,40.4,7,20,1
597,1,597,4,-8,40.4,8,20,1
598,1,598,4,-7,40.4,9,20,1
599,1,599,4,-6,40.4,10,20,1
600,1,600,4,-5,40.4,11,20,1
601,1,601,4,-4,40.4,12,20,1
602,1,602,4,-3,40.4,13,20,1
603,1,603,4,-2,40.4,14,20,1
604,1,604,4,-1,40.4,15,20,1
605,1,605,4,0,40.4,16,20,1
606,1,606,4,1,40.4,17,20,1
607,1,607,4,2,40.4,18,20,1
608,1,608,4,3,40.4,19,20,1
609,1,609,4,4,40.4,20,20,1
610,1,610,4,5,40.4,21,20,1
611,1,611,4,6,40.4,22,20,1
612,1,612,4,7,40.4,23,20,1
613,1,613,4,8,40.4,24,20,1
614,1,614,4,9,40.4,25,20,1
615,1,615,4,10,40.4,26,20,1
616,1,616,4,11,40.4,27,20,1
617,1,617,4,12,40.4,28,20,1
618,1,618,4,13,40.4,29,20,1
619,1,619,4,14,40.4,30,20,1
620,1,620,4,15,40.4,31,20,1
621,1,621,5,-15,40.4,1,21,1
622,1,622,5,-14,40.4,2,21,1
623,1,623,5,-13,40.4,3,21,1
624,1,624,5,-12,40.4,4,21,1
625,1,625,5,-11,40.4,5,21,1
626,1,626,5,-10,40.4,6,21,1
627,1,627,5,-9,40.4,7,21,1
628,1,628,5,-8,40.4,8,21,1
629,1,629,5,-7,40.4,9,21,1
630,1,630,5,-6,40.4,10,21,1
631,1,631,5,-5,40.4,11,21,1
632,1,632,5,-4,40.4,12,21,1
633,1,633,5,-3,40.4,13,21,1
634,1,634,5,-2,40.4,14,21,1
635,1,635,5,-1,40.4,15,21,1
636,1,636,5,0,40.4,16,21,1
637,1,637,5,1,40.4,17,21,1
638,1,638,5,2,40.4,18,21,1
639,1,639,5,3,40.4,19,21,1
640,1,640,5,4,40.4,20,21,1
641,1,641,5,5,40.4,21,21,1
642,1,642,5,6,40.4,22,21,1
643,1,643,5,7,40.4,23,21,1
644,1,644,5,8,40.4,24,21,1
645,1,645,5,9,40.4,25,21,1
